year,indicator,donor_code,donor_name,prices,currency,purpose_name,value
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Action Relating to Debt,0.734743089098339
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Administrative Costs of Donors,37.641177291847036
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Agriculture and Forestry & Fishing,19.918549695076184
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Banking & Financial Services and Business,7.55194175602225
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Civil society,9.03230983979605
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Conflict Peace and Security,3.420398333433317
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Education,159.02728181646017
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Energy,18.628866152715435
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Environment Protection,4.549022800969082
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,General Budget Support,1.9715088630597137
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Government,15.066697348648114
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Health,7.687067439365694
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Humanitarian,25.79493748017035
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,"Industry, Mining, Construction",4.742437297788239
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Multi-sector,21.715739530641752
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Other,0.5415774163396339
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Refugees in Donor Countries,520.145006842247
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,"Social infrastructure, protection and services",12.759040213558343
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Trade Policies & Regulations,0.8674172630080864
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Transport & Storage and communications,2.304497069522023
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Unallocated/ Unspecificed,40.00320840852807
2015,crs_bilateral_flow_disbursement_gross,1,Austria,constant,USD,Water Supply & Sanitation,20.719423110183925
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Action Relating to Debt,1.5820413165581084
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Administrative Costs of Donors,85.42144922325481
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Agriculture and Forestry & Fishing,132.5252136520712
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Banking & Financial Services and Business,55.5618744567106
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Civil society,32.2666006359814
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Conflict Peace and Security,4.37303600314991
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Education,94.09128704010298
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Energy,13.922648597922526
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Environment Protection,17.63859016172178
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Government,53.49188797524858
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Health,151.92783927974466
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Humanitarian,165.20789051397503
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,"Industry, Mining, Construction",6.338776146001597
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Multi-sector,153.9626361558835
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Refugees in Donor Countries,272.512294947765
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,"Social infrastructure, protection and services",22.17666106531202
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Trade Policies & Regulations,2.12124890556636
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Transport & Storage and communications,33.17328848522309
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Unallocated/ Unspecificed,78.29288051899698
2015,crs_bilateral_flow_disbursement_gross,2,Belgium,constant,USD,Water Supply & Sanitation,36.80773701102938
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Action Relating to Debt,0.0662259607419865
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Administrative Costs of Donors,163.72446650892078
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Agriculture and Forestry & Fishing,110.02784727987157
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Banking & Financial Services and Business,89.25691234411495
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Civil society,291.1656676327438
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Conflict Peace and Security,55.130493675784685
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Education,91.92156829131045
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Energy,36.29206989161687
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Environment Protection,90.09738867304195
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,General Budget Support,27.380926357302314
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Government,135.2731031561256
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Health,103.69887101652999
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Humanitarian,211.86381515409067
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,"Industry, Mining, Construction",39.6322877046266
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Multi-sector,43.52733500549856
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Other,2.626418068552377
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Refugees in Donor Countries,462.32122615470894
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,"Social infrastructure, protection and services",32.26990461633204
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Trade Policies & Regulations,12.321623871504794
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Transport & Storage and communications,13.604758411852895
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Unallocated/ Unspecificed,209.62975431269126
2015,crs_bilateral_flow_disbursement_gross,3,Denmark,constant,USD,Water Supply & Sanitation,83.63173409216377
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Action Relating to Debt,227.12123916037078
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Administrative Costs of Donors,538.8211069404498
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Agriculture and Forestry & Fishing,320.572363867478
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Banking & Financial Services and Business,65.98226685379363
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Civil society,36.339681825229384
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Conflict Peace and Security,50.73520174928298
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Education,1271.7761791369335
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Energy,595.7176089597846
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Environment Protection,643.8637768716245
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,General Budget Support,264.7853053068263
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Government,92.30241694710273
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Health,192.64425611116894
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Humanitarian,41.70180500103689
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,"Industry, Mining, Construction",49.28594127305485
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Multi-sector,1046.6678789599555
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Other,49.16469396442055
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Refugees in Donor Countries,416.9905697047792
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,"Social infrastructure, protection and services",214.48244123810912
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Trade Policies & Regulations,6.615047226072882
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Transport & Storage and communications,647.587899392587
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Unallocated/ Unspecificed,559.2277534904692
2015,crs_bilateral_flow_disbursement_gross,4,France,constant,USD,Water Supply & Sanitation,467.4677170964225
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Action Relating to Debt,95.48674475760913
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Administrative Costs of Donors,632.8177273432901
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Agriculture and Forestry & Fishing,730.6465711771011
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Banking & Financial Services and Business,2244.900749887766
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Civil society,737.4247270955539
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Conflict Peace and Security,399.24158869834787
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Education,2224.5163142233037
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Energy,2156.229706791454
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Environment Protection,706.5052997107978
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,General Budget Support,14.160074659076852
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Government,540.8291520928929
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Health,619.6077344757588
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Humanitarian,965.611722536433
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,"Industry, Mining, Construction",166.60307612146485
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Multi-sector,1144.8823629244514
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Other,156.07633468506236
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Refugees in Donor Countries,3617.6560977022496
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,"Social infrastructure, protection and services",178.27366357056107
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Trade Policies & Regulations,44.49561348920457
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Transport & Storage and communications,608.6158323499168
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Unallocated/ Unspecificed,117.29469835486775
2015,crs_bilateral_flow_disbursement_gross,5,Germany,constant,USD,Water Supply & Sanitation,983.0705109362223
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Action Relating to Debt,91.49473799876469
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Administrative Costs of Donors,40.25157624946149
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Agriculture and Forestry & Fishing,111.6571565017617
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Banking & Financial Services and Business,13.286359143685491
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Civil society,35.3583643993086
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Conflict Peace and Security,19.336295237328688
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Education,110.73002450819905
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Energy,32.44664859684966
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Environment Protection,37.3319712624057
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,General Budget Support,6.27774450498768
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Government,98.02561893284776
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Health,87.26193579016426
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Humanitarian,124.58669133495088
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,"Industry, Mining, Construction",23.058790577135277
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Multi-sector,22.801223980391086
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Other,16.088031573852373
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Refugees in Donor Countries,1112.6724832406046
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,"Social infrastructure, protection and services",49.05803192507389
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Trade Policies & Regulations,2.8609805355479585
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Transport & Storage and communications,37.317991446199706
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Unallocated/ Unspecificed,35.21505175831418
2015,crs_bilateral_flow_disbursement_gross,6,Italy,constant,USD,Water Supply & Sanitation,20.454364740048934
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Action Relating to Debt,54.46220425254574
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Administrative Costs of Donors,403.4992880439273
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Agriculture and Forestry & Fishing,199.44032107877757
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Banking & Financial Services and Business,254.29001172739748
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Civil society,708.9751452334064
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Conflict Peace and Security,135.70050401536815
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Education,116.77799317488879
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Energy,43.6318679413893
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Environment Protection,34.31823310575349
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Government,140.41298917166432
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Health,285.4129299182258
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Humanitarian,566.0106324465683
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,"Industry, Mining, Construction",40.97464241028207
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Multi-sector,134.9739265139454
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Other,54.26446398855235
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Refugees in Donor Countries,1585.33276856615
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,"Social infrastructure, protection and services",50.4535937413732
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Trade Policies & Regulations,74.14196925352829
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Transport & Storage and communications,13.81931652288769
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Unallocated/ Unspecificed,11.08793630007826
2015,crs_bilateral_flow_disbursement_gross,7,Netherlands,constant,USD,Water Supply & Sanitation,181.48003705020048
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Action Relating to Debt,20.01352061091035
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Administrative Costs of Donors,279.2469570575415
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Agriculture and Forestry & Fishing,129.08768018999928
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Banking & Financial Services and Business,227.83240468498312
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Civil society,296.8157529549671
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Conflict Peace and Security,181.20970999974355
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Education,357.90081044315104
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Energy,134.38990902654018
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Environment Protection,465.19516220420576
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,General Budget Support,59.230622383953836
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Government,113.13493022286066
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Health,268.76578338985416
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Humanitarian,461.74048454088285
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,"Industry, Mining, Construction",44.73309357258655
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Multi-sector,109.58874549729846
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Other,0.3410972866432763
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Refugees in Donor Countries,532.3272056840617
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,"Social infrastructure, protection and services",55.47262165416055
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Trade Policies & Regulations,13.636105930657218
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Transport & Storage and communications,4.268576579937493
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Unallocated/ Unspecificed,49.17509323379502
2015,crs_bilateral_flow_disbursement_gross,8,Norway,constant,USD,Water Supply & Sanitation,29.54246123878788
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Action Relating to Debt,16.879629800764356
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Administrative Costs of Donors,8.140873504681164
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Agriculture and Forestry & Fishing,0.6044112481429136
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Banking & Financial Services and Business,1.2940097157354242
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Civil society,0.5226952569116394
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Conflict Peace and Security,4.6096212279039905
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Education,49.07354829620784
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Energy,17.434660674939103
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Environment Protection,4.462828258854925
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,General Budget Support,1.1775236474915967
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Government,3.1736768472415786
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Health,26.999992722569452
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Humanitarian,1.1995198877374365
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,"Industry, Mining, Construction",0.9985189072422594
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Multi-sector,6.091459420994179
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Other,33.552897855742245
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Refugees in Donor Countries,3.313020180739529
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,"Social infrastructure, protection and services",39.43930358127076
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Trade Policies & Regulations,0.5941768454074772
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Transport & Storage and communications,5.5301536796357835
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Unallocated/ Unspecificed,0.7679965638261149
2015,crs_bilateral_flow_disbursement_gross,9,Portugal,constant,USD,Water Supply & Sanitation,0.49419414965117114
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Administrative Costs of Donors,242.44631252320573
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Agriculture and Forestry & Fishing,89.91295050979602
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Banking & Financial Services and Business,46.371886735231485
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Civil society,592.6549677267041
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Conflict Peace and Security,141.5295652622404
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Education,100.38716641107494
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Energy,101.02310091982206
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Environment Protection,112.50078022598854
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,General Budget Support,78.71870101656896
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Government,118.88186704868181
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Health,201.92265453046275
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Humanitarian,424.59013533881534
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,"Industry, Mining, Construction",58.242596377956474
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Multi-sector,203.53381922865066
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Other,0.10006574029540014
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Refugees in Donor Countries,2695.312833001858
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,"Social infrastructure, protection and services",67.56347463159445
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Trade Policies & Regulations,52.77930274079698
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Transport & Storage and communications,21.770456535727334
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Unallocated/ Unspecificed,61.708034632834256
2015,crs_bilateral_flow_disbursement_gross,10,Sweden,constant,USD,Water Supply & Sanitation,107.95186308743932
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Administrative Costs of Donors,166.8288835215871
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Agriculture and Forestry & Fishing,149.30354680830618
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Banking & Financial Services and Business,127.67591552615013
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Civil society,70.08960250355261
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Conflict Peace and Security,94.78217747061571
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Education,120.50072420682223
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Energy,15.972803799788625
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Environment Protection,75.91519775461677
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,General Budget Support,25.495405146904886
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Government,198.84113330552498
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Health,124.10543537718488
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Humanitarian,449.2703083412774
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,"Industry, Mining, Construction",42.6519673890631
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Multi-sector,286.9076973906977
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Other,8.750282478026183
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Refugees in Donor Countries,523.7632093671871
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,"Social infrastructure, protection and services",37.34612960107629
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Trade Policies & Regulations,40.10605385538956
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Transport & Storage and communications,27.442225283738452
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Unallocated/ Unspecificed,169.09476094438548
2015,crs_bilateral_flow_disbursement_gross,11,Switzerland,constant,USD,Water Supply & Sanitation,214.95397147527154
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Administrative Costs of Donors,630.4074697628421
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Agriculture and Forestry & Fishing,667.4013629670367
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Banking & Financial Services and Business,990.4328491661108
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Civil society,394.87782319461223
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Conflict Peace and Security,468.9858808029763
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Education,1033.017150407465
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Energy,179.6662120995698
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Environment Protection,509.8451370885532
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,General Budget Support,78.31850661255959
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Government,763.7091435533699
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Health,1607.3471517234502
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Humanitarian,2003.5451273215326
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,"Industry, Mining, Construction",137.2354070467934
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Multi-sector,1094.5594705072435
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Other,37.42168581537909
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Refugees in Donor Countries,396.8977917448268
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,"Social infrastructure, protection and services",464.17172144267727
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Trade Policies & Regulations,86.52541911176048
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Transport & Storage and communications,244.24819274799913
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Unallocated/ Unspecificed,140.1182682956089
2015,crs_bilateral_flow_disbursement_gross,12,United Kingdom,constant,USD,Water Supply & Sanitation,290.88757301378934
