year,indicator,channel_code,mapped_name,share
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.00011468428277299941
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0023035786617188058
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00024909707083135016
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0004048519600057699
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,6.421131449078156e-06
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.008334019703537162
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,6.978317147462365e-05
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0018062812857387452
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.006057631062992674
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00012093013971774102
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.003003504114872028
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0005475142409443041
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.06614224627588859
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,3.5366753094153173e-05
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.002409968398735515
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.00580443368621691
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00033037605548822725
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,5.868442132693985e-05
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,8.478180166809932e-05
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.0
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0013101320051023795
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0022554156295140847
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.07149296433310984
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0023158318769080054
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.036589692104757494
2015,multilateral_purpose_spending_shares,41305,united nations,0.0
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.017369721913253814
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.008514620820348066
2015,multilateral_purpose_spending_shares,44002,international development association,0.014289876028358127
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0181177143960706
2015,multilateral_purpose_spending_shares,46003,african development fund,0.006381635647932175
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.008260660165838003
2015,multilateral_purpose_spending_shares,46009,caribbean development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0032257721653769313
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.0007652252448937435
2015,multilateral_purpose_spending_shares,46015,european bank for reconstruction and development,0.0002957650268342036
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0027791604722494857
2015,multilateral_purpose_spending_shares,,,0.0028186723553121932
2015,multilateral_purpose_spending_shares,41114,united nations development programme,4.607194137936967e-05
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0019066370024680226
2015,multilateral_purpose_spending_shares,41140,world food programme,0.00022968282947273623
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0034265600518732097
2015,multilateral_purpose_spending_shares,42004,european investment bank,0.002255699067672133
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.004044519104405495
2015,multilateral_purpose_spending_shares,44002,international development association,0.0054139711490256235
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46009,caribbean development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.00015429862599371176
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,3.442652349381549e-05
2015,multilateral_purpose_spending_shares,46024,council of europe development bank,0.0270172977485422
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.007216464907881752
2015,multilateral_purpose_spending_shares,,,0.0037019073888171256
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0010518551879544853
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0005753836398039044
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0011842932034696531
2015,multilateral_purpose_spending_shares,44002,international development association,0.0025948225402059348
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.00010721502408016895
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,9.425839966123517e-05
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.00017238071851482056
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0010182721065667632
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,1.661532330223627e-05
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,4.4820405306802695e-05
2015,multilateral_purpose_spending_shares,44002,international development association,0.000738789989340658
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.015598759171162886
2015,multilateral_purpose_spending_shares,41130,united nations relief and works agency for palestine refugees in the near east,0.5769896693837059
2015,multilateral_purpose_spending_shares,41140,world food programme,0.09534022370928581
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.01218536643474489
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.006342357365074412
2015,multilateral_purpose_spending_shares,44002,international development association,0.03297255005531856
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.004129821699930599
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.02030326520698085
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.014438608601644533
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0032323184459722054
2015,multilateral_purpose_spending_shares,,,5.274352823391219e-05
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0007290167160935571
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.014643121423590911
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0013548698402700348
2015,multilateral_purpose_spending_shares,41140,world food programme,0.004894918991915119
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0020005592892467345
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0014017712496285314
2015,multilateral_purpose_spending_shares,44002,international development association,0.002750309139619918
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0004487873155000166
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,1.8592815653426725e-05
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.00014529768766581905
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0032982877170709426
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0004113875866760177
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.00216998861246844
2015,multilateral_purpose_spending_shares,44002,international development association,0.0031093136542809114
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0012195032590561173
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00034877952610967
2015,multilateral_purpose_spending_shares,41114,united nations development programme,5.5131720860312846e-05
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.00048103813762706766
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0003677085672021921
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.008433399895088546
2015,multilateral_purpose_spending_shares,44002,international development association,0.021065374011246838
2015,multilateral_purpose_spending_shares,46002,african development bank,0.001041812408546469
2015,multilateral_purpose_spending_shares,46003,african development fund,0.008620696287895335
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.009130191426150989
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.01727875920654339
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00019543511898651768
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47134,clean technology fund,5.698573385285817e-05
2015,multilateral_purpose_spending_shares,47135,strategic climate fund,0.0007106545602553008
